CGNDB ID,Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
BACIZ,South Lake,Locality,46.4229790,-62.0494790,Prince Edward Island
BACJA,South Melville,Locality,46.2333960,-63.4330660,Prince Edward Island
BBAGL,South Pinette,Community,46.0413770,-62.9103570,Prince Edward Island
BACJF,South River,River,46.0112710,-62.5145590,Prince Edward Island
BACJG,South Rustico,Locality,46.4157570,-63.2917490,Prince Edward Island
BACIR,Southampton,Locality,46.3813060,-62.5833220,Prince Edward Island
BACJE,Southport,Locality,46.2263890,-63.1055560,Prince Edward Island
BACJJ,Southwest Brook,Brook,46.3416120,-63.6371690,Prince Edward Island
BADHC,Southwest Creek,Creek,46.6500000,-63.9166670,Prince Edward Island
BACJK,Southwest Lot 16,Locality,46.4842060,-63.9002140,Prince Edward Island
BACJL,Southwest River,River,46.4947960,-63.4916690,Prince Edward Island
BACJM,Spear Point,Point,46.5318980,-63.6657070,Prince Edward Island
BACJN,Spithead,Shoal,46.1500000,-63.1333330,Prince Edward Island
BADHD,Spring Park,Locality,46.2505556,-63.1425000,Prince Edward Island
BACJV,Spring Valley,Locality,46.4972670,-63.6258890,Prince Edward Island
BACJO,Springbrook,Locality,46.4933980,-63.5057260,Prince Edward Island
BACJP,Springfield,Locality,46.3896450,-63.5228850,Prince Edward Island
BACJR,Springfield West,Locality,46.6840820,-64.3597110,Prince Edward Island
BACJS,Springhill,Locality,46.5627560,-64.0047580,Prince Edward Island
BACJT,Springton,Locality,46.3201490,-63.4250080,Prince Edward Island
BACJU,Springvale,Locality,46.3136290,-63.2452670,Prince Edward Island
BACJX,Spry Cove,Cove,46.2732230,-62.3733830,Prince Edward Island
BAEYY,St-Gilbert,Locality,46.4833330,-64.0500000,Prince Edward Island
BAEZA,St-Hubert,Locality,46.5000000,-64.0333330,Prince Edward Island
BAEZB,St-Nicholas,Locality,46.4194440,-63.9552780,Prince Edward Island
BAEYZ,St-Philippe,Locality,46.5000000,-64.0666670,Prince Edward Island
BAEYP,St-Raphaël,Locality,46.4333330,-64.0166670,Prince Edward Island
