CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
KAADM,Anderson Creek,Undetermined,,Creek,Water Feature,RIV,0cf73578849c20c3055fd2441b2cd291,61.5503483,-129.4836563,,Yukon,1000000,1951-06-07,Yukon-Department of Tourism and Culture
KAADO,Anderson Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,231f70c5d05511d892e2080020a0f4c9,61.1833333,-140.9666667,,Yukon,250000,1980-09-12,Yukon-Department of Tourism and Culture
KAADR,Anderson Lake,Undetermined,,Lake,Water Feature,LAKE,0c6edfdc849c20c377eba1ebc7ad26a2,61.6733333,-128.8716666,,Yukon,250000,1951-06-07,Yukon-Department of Tourism and Culture
KAADU,Anderson Pass Creek,Undetermined,,Creek,Water Feature,RIV,0c6ee01c849c20c3650d3a3024978609,61.5561145,-128.3102526,,Yukon,250000,1962-03-12,Yukon-Department of Tourism and Culture
KAADV,Andesite Mountain,Undetermined,,Mountain,Terrain Feature,MTN,2330fcf6d05511d892e2080020a0f4c9,61.8900000,-136.0605556,,Yukon,250000,1981-03-09,Yukon-Department of Tourism and Culture
KAADW,Andrew Creek,Undetermined,,Creek,Water Feature,RIV,0c6ee05e849c20c3f906b28e2da4861e,60.0672222,-130.9769444,,Yukon,50000,1948-10-07,Yukon-Department of Tourism and Culture
KAAEA,Angel Lake,Undetermined,,Lake,Water Feature,LAKE,0cf73602849c20c33c5dd3738617b52e,64.8286111,-134.6466666,,Yukon,250000,1971-01-11,Yukon-Department of Tourism and Culture
KAADY,Angelcomb Peak,Undetermined,,Peak,Terrain Feature,MTN,0cf735c1849c20c3ac93c2cccb53479d,64.6044443,-138.2788888,,Yukon,250000,1979-09-12,Yukon-Department of Tourism and Culture
KAAEB,Anik Island,Undetermined,,Island,Terrain Feature,ISL,25d7cf26d05411d892e2080020a0f4c9,66.9702776,-137.6361111,,Yukon,250000,1981-10-09,Yukon-Department of Tourism and Culture
KAAEC,Anker Creek,Undetermined,,Creek,Water Feature,RIV,0c6ee09e849c20c3614dc129cba0174c,68.7108214,-137.4578745,,Yukon,250000,1958-06-05,Yukon-Department of Tourism and Culture
